metric,geography,value,unit,source_url
Policies in band $80-$90 increase (all NFIP policies),Florida,538,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $80-$90 increase (all NFIP policies),Florida,0.031,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $90-$100 increase (all NFIP policies),Florida,347,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $90-$100 increase (all NFIP policies),Florida,0.02,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies in band $100+ increase (all NFIP policies),Florida,1151,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies in band $100+ increase (all NFIP policies),Florida,0.067,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Total policies analyzed (single-family home policies),Florida,921339,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies with premium DECREASE under RR2.0 (single-family home policies),Florida,114617,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Percent of policies with premium DECREASE under RR2.0 (single-family home policies),Florida,12.44,percent,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)
Policies with premium INCREASE under RR2.0 (single-family home policies),Florida,806722,policies,https://services3.arcgis.com/PwSEIra0zgvwmApz/arcgis/rest/services/All_and_SFH_Policies_by_State/FeatureServer/0  (dashboard: https://www.arcgis.com/apps/dashboards/44d08581aaf14f39bc0da5d02f378007)  [derived: grand total - decreases]
